Topic: http://dbpedia.org/resource/Category:Eurovision_Song_Contest_by_year | Category: Album | Count: 12 | Popularity: 9.43358
Topic: http://dbpedia.org/resource/Category:Concept_albums | Category: Album | Count: 17 | Popularity: 9.42771
Topic: http://dbpedia.org/resource/Category:Grammy_Hall_of_Fame_Award_recipients | Category: Album | Count: 11 | Popularity: 9.24826
Topic: http://dbpedia.org/resource/Category:Rock_operas | Category: Album | Count: 9 | Popularity: 9.14184
Topic: http://dbpedia.org/resource/Category:Parlophone_albums | Category: Album | Count: 11 | Popularity: 9.0832
Topic: http://dbpedia.org/resource/Category:United_States_National_Film_Registry_films | Category: Album | Count: 10 | Popularity: 8.95519
Topic: http://dbpedia.org/resource/Category:Films_set_in_New_York_City | Category: Album | Count: 8 | Popularity: 8.42088
Topic: http://dbpedia.org/resource/Category:Film_soundtracks | Category: Album | Count: 10 | Popularity: 8.11057
Topic: http://dbpedia.org/resource/Category:Directorial_debut_films | Category: Album | Count: 8 | Popularity: 8.04695
Topic: http://dbpedia.org/resource/Category:English-language_albums | Category: Album | Count: 66 | Popularity: 8.00513
Topic: http://dbpedia.org/resource/Category:American_films | Category: Album | Count: 22 | Popularity: 7.99973
Topic: http://dbpedia.org/resource/Category:Presidents_of_the_United_States | Category: Ambassador | Count: 8 | Popularity: 112.688
Topic: http://dbpedia.org/resource/Category:Hall_of_Fame_for_Great_Americans_inductees | Category: Ambassador | Count: 8 | Popularity: 64.9268
Topic: http://dbpedia.org/resource/Category:Fellows_of_the_American_Academy_of_Arts_and_Sciences | Category: Ambassador | Count: 13 | Popularity: 63.5326
Topic: http://dbpedia.org/resource/Category:Democratic_Party_(United_States)_presidential_nominees | Category: Ambassador | Count: 8 | Popularity: 56.9257
Topic: http://dbpedia.org/resource/Category:United_States_Secretaries_of_State | Category: Ambassador | Count: 9 | Popularity: 43.5689
Topic: http://dbpedia.org/resource/Category:Living_people | Category: Ambassador | Count: 20 | Popularity: 36.4435
Topic: http://dbpedia.org/resource/Category:American_people_of_Scottish_descent | Category: Ambassador | Count: 9 | Popularity: 35.8114
Topic: http://dbpedia.org/resource/Category:Ambassadors_of_the_United_States_to_France | Category: Ambassador | Count: 13 | Popularity: 34.0109
Topic: http://dbpedia.org/resource/Category:American_people_of_English_descent | Category: Ambassador | Count: 17 | Popularity: 33.6983
Topic: http://dbpedia.org/resource/Category:Harvard_University_alumni | Category: Ambassador | Count: 14 | Popularity: 18.4436
Topic: http://dbpedia.org/resource/Category:Ambassadors_of_the_United_States_to_the_United_Kingdom | Category: Ambassador | Count: 19 | Popularity: 15.6249
Topic: http://dbpedia.org/resource/Category:19th-century_American_diplomats | Category: Ambassador | Count: 26 | Popularity: 12.9381
Topic: http://dbpedia.org/resource/Category:Presidential_Medal_of_Freedom_recipients | Category: Ambassador | Count: 12 | Popularity: 11.5648
Topic: http://dbpedia.org/resource/Category:Democratic_Party_United_States_Senators | Category: Ambassador | Count: 8 | Popularity: 11.4334
Topic: http://dbpedia.org/resource/Category:American_military_personnel_of_World_War_II | Category: Ambassador | Count: 12 | Popularity: 8.98851
Topic: http://dbpedia.org/resource/Category:Burials_at_Arlington_National_Cemetery | Category: Ambassador | Count: 8 | Popularity: 6.77145
Topic: http://dbpedia.org/resource/Category:National_Football_League_first_overall_draft_picks | Category: AmericanFootballPlayer | Count: 8 | Popularity: 9.82991
Topic: http://dbpedia.org/resource/Category:San_Francisco_49ers_players | Category: AmericanFootballPlayer | Count: 8 | Popularity: 9.24148
Topic: http://dbpedia.org/resource/Category:All-American_college_football_players | Category: AmericanFootballPlayer | Count: 26 | Popularity: 8.15581
Topic: http://dbpedia.org/resource/Category:Super_Bowl_MVPs | Category: AmericanFootballPlayer | Count: 19 | Popularity: 8.13237
Topic: http://dbpedia.org/resource/Category:American_Conference_Pro_Bowl_players | Category: AmericanFootballPlayer | Count: 22 | Popularity: 8.10744
Topic: http://dbpedia.org/resource/Category:Parade_High_School_All-Americans_(football) | Category: AmericanFootballPlayer | Count: 11 | Popularity: 7.95084
Topic: http://dbpedia.org/resource/Category:College_Football_Hall_of_Fame_inductees | Category: AmericanFootballPlayer | Count: 22 | Popularity: 7.86544
Topic: http://dbpedia.org/resource/Category:National_Football_League_players_with_retired_numbers | Category: AmericanFootballPlayer | Count: 14 | Popularity: 7.75766
Topic: http://dbpedia.org/resource/Category:Pro_Football_Hall_of_Fame_inductees | Category: AmericanFootballPlayer | Count: 33 | Popularity: 7.75237
Topic: http://dbpedia.org/resource/Category:American_football_quarterbacks | Category: AmericanFootballPlayer | Count: 28 | Popularity: 7.68555
Topic: http://dbpedia.org/resource/Category:College_football_announcers | Category: AmericanFootballPlayer | Count: 12 | Popularity: 7.61476
Topic: http://dbpedia.org/resource/Category:Super_Bowl_champions | Category: AmericanFootballPlayer | Count: 31 | Popularity: 7.55943
Topic: http://dbpedia.org/resource/Category:National_Football_League_announcers | Category: AmericanFootballPlayer | Count: 28 | Popularity: 7.55571
Topic: http://dbpedia.org/resource/Category:Living_people | Category: AmericanFootballPlayer | Count: 50 | Popularity: 7.53356
Topic: http://dbpedia.org/resource/Category:American_football_running_backs | Category: AmericanFootballPlayer | Count: 14 | Popularity: 7.53122
Topic: http://dbpedia.org/resource/Category:Players_of_American_football_from_California | Category: AmericanFootballPlayer | Count: 9 | Popularity: 7.17204
Topic: http://dbpedia.org/resource/Category:National_Conference_Pro_Bowl_players | Category: AmericanFootballPlayer | Count: 23 | Popularity: 7.00596
Topic: http://dbpedia.org/resource/Category:African-American_players_of_American_football | Category: AmericanFootballPlayer | Count: 21 | Popularity: 6.94692
Topic: http://dbpedia.org/resource/Category:Frogs_by_classification | Category: Amphibian | Count: 13 | Popularity: 12.3483
Topic: http://dbpedia.org/resource/Category:Organs | Category: AnatomicalStructure | Count: 14 | Popularity: 86.4092
Topic: http://dbpedia.org/resource/Category:Animal_anatomy | Category: AnatomicalStructure | Count: 9 | Popularity: 76.4714
Topic: http://dbpedia.org/resource/Category:Soft_tissue | Category: AnatomicalStructure | Count: 10 | Popularity: 72.8079
Topic: http://dbpedia.org/resource/Category:Cell_biology | Category: AnatomicalStructure | Count: 10 | Popularity: 67.5788
Topic: http://dbpedia.org/resource/Category:Tissues_(biology) | Category: AnatomicalStructure | Count: 10 | Popularity: 60.0427
